date,time,devname,devid,level,srcip,srcport,srcintf,dstip,dstport,dstintf,proto,service,action,policyid,sentbyte,rcvdbyte,sentpkt,appcat,crscore,crlevel,utmaction,srccountry,attack,disposition
2020-01-01,22:46:44,GCH-FW-A-01,FG100F98456,alert,115.197.71.90,34822,wan1,10.10.0.114,53,dmz,17,DNS,deny,7,769,0,1,unscanned,36,alert,block,India,Malware,Blocked
2020-01-02,00:03:01,GCH-FW-B-01,FG100F38570,notice,24.165.248.18,60203,wan1,10.20.0.111,8080,app,17,HTTP-ALT,deny,3,406,0,1,unscanned,69,notice,block,India,Intrusion,Blocked
2020-01-02,01:47:57,GCH-FW-C-01,FG100F05512,warning,184.236.143.159,42079,wan1,10.30.0.74,990,core,6,FTPS,accept,7,709,2885,1,Network.Service,49,warning,allow,India,Intrusion,Logged
2020-01-02,04:54:15,GCH-FW-B-01,FG100F38570,alert,212.47.188.7,0,wan1,10.20.0.86,0,app,1,PING,accept,18,517,2218,1,Network.Service,27,alert,allow,India,Malware,Logged
2020-01-02,07:55:42,GCH-FW-A-01,FG100F98456,notice,122.4.225.106,24740,wan1,10.10.0.100,8443,dmz,6,HTTPS-ALT,accept,21,251,657,1,Network.Service,77,notice,allow,India,DDoS,Ignored
2020-01-02,09:33:08,GCH-FW-A-01,FG100F98456,notice,115.163.98.191,3776,wan1,10.10.0.44,80,dmz,17,HTTP,accept,7,260,2086,1,Network.Service,6,notice,allow,India,DDoS,Logged
2020-01-02,09:46:14,GCH-FW-B-01,FG100F38570,alert,13.19.31.179,0,wan1,10.20.0.59,0,app,1,PING,accept,21,120,3700,1,Network.Service,73,alert,allow,India,Intrusion,Logged
2020-01-02,10:31:34,GCH-FW-C-01,FG100F05512,warning,216.110.129.16,19235,wan1,10.30.0.87,2121,core,6,FTP,accept,12,1214,262,2,Network.Service,61,warning,allow,India,Intrusion,Logged
2020-01-02,12:37:01,GCH-FW-A-01,FG100F98456,alert,177.52.188.67,0,wan1,10.10.0.5,0,dmz,1,PING,accept,18,1026,1056,1,Network.Service,97,alert,allow,India,Intrusion,Logged
2020-01-02,17:30:26,GCH-FW-A-01,FG100F98456,warning,216.202.242.15,62380,wan1,10.10.0.3,53,dmz,17,DNS,accept,7,1233,2657,2,Network.Service,59,warning,allow,India,Intrusion,Logged
2020-01-02,18:16:42,GCH-FW-C-01,FG100F05512,warning,147.183.223.117,0,wan1,10.30.0.24,0,core,1,PING,deny,18,868,0,1,unscanned,35,warning,block,India,Intrusion,Blocked
2020-01-02,18:25:03,GCH-FW-A-01,FG100F98456,warning,171.224.94.48,47524,wan1,10.10.0.88,8080,dmz,17,HTTP-ALT,deny,21,100,0,1,unscanned,32,warning,block,India,Malware,Blocked
2020-01-03,01:19:39,GCH-FW-C-01,FG100F05512,alert,19.214.43.215,0,wan1,10.30.0.67,0,core,1,PING,accept,18,1475,1979,2,Network.Service,51,alert,allow,India,DDoS,Ignored
2020-01-03,01:20:46,GCH-FW-B-01,FG100F38570,alert,110.88.185.72,58765,wan1,10.20.0.96,53,app,6,DNS,accept,12,706,2852,1,Network.Service,86,alert,allow,India,DDoS,Logged
2020-01-03,01:59:27,GCH-FW-A-01,FG100F98456,warning,218.70.53.220,0,wan1,10.10.0.127,0,dmz,1,PING,accept,21,484,303,1,Network.Service,14,warning,allow,India,DDoS,Ignored
2020-01-03,07:26:27,GCH-FW-B-01,FG100F38570,warning,184.82.191.47,0,wan1,10.20.0.97,0,app,1,PING,deny,3,497,0,1,unscanned,71,warning,block,India,DDoS,Blocked
2020-01-03,09:03:59,GCH-FW-A-01,FG100F98456,notice,176.205.231.182,46383,wan1,10.10.0.95,2121,dmz,17,FTP,accept,7,174,2547,1,Network.Service,94,notice,allow,India,Intrusion,Logged
2020-01-03,14:31:45,GCH-FW-C-01,FG100F05512,warning,33.4.127.59,16560,wan1,10.30.0.98,443,core,17,HTTPS,accept,12,1422,2795,2,Network.Service,88,warning,allow,India,Intrusion,Ignored
2020-01-03,15:18:08,GCH-FW-C-01,FG100F05512,notice,113.156.66.54,58023,wan1,10.30.0.28,2121,core,17,FTP,accept,21,934,2361,1,Network.Service,57,notice,allow,India,Intrusion,Ignored
2020-01-03,16:35:43,GCH-FW-A-01,FG100F98456,alert,192.60.60.85,0,wan1,10.10.0.60,0,dmz,1,PING,accept,7,103,842,1,Network.Service,43,alert,allow,India,Malware,Logged
2020-01-03,17:34:33,GCH-FW-B-01,FG100F38570,notice,53.155.91.124,10255,wan1,10.20.0.84,990,app,6,FTPS,accept,7,1379,2209,2,Network.Service,75,notice,allow,India,Intrusion,Ignored
2020-01-03,17:40:43,GCH-FW-A-01,FG100F98456,warning,26.251.18.98,37312,wan1,10.10.0.30,990,dmz,17,FTPS,accept,7,1269,151,2,Network.Service,38,warning,allow,India,Malware,Logged
2020-01-03,19:05:11,GCH-FW-A-01,FG100F98456,alert,43.225.225.122,55224,wan1,10.10.0.132,8080,dmz,17,HTTP-ALT,accept,12,1411,2145,2,Network.Service,48,alert,allow,India,Malware,Ignored
2020-01-03,19:24:32,GCH-FW-B-01,FG100F38570,warning,17.122.116.211,57024,wan1,10.20.0.103,53,app,6,DNS,deny,18,1435,0,2,unscanned,15,warning,block,India,Intrusion,Blocked
2020-01-03,20:29:03,GCH-FW-C-01,FG100F05512,alert,220.164.157.155,0,wan1,10.30.0.114,0,core,1,PING,accept,18,865,7,1,Network.Service,91,alert,allow,India,Malware,Ignored
2020-01-03,22:10:49,GCH-FW-C-01,FG100F05512,alert,8.182.28.62,63670,wan1,10.30.0.116,80,core,6,HTTP,deny,7,1372,0,2,unscanned,0,alert,block,India,Malware,Blocked
2020-01-04,02:24:56,GCH-FW-C-01,FG100F05512,warning,60.41.118.65,64845,wan1,10.30.0.16,443,core,17,HTTPS,deny,18,1110,0,1,unscanned,8,warning,block,India,Malware,Blocked
2020-01-04,03:17:07,GCH-FW-C-01,FG100F05512,warning,29.76.207.193,23414,wan1,10.30.0.75,53,core,17,DNS,accept,18,607,3460,1,Network.Service,32,warning,allow,India,Malware,Logged
2020-01-04,04:31:41,GCH-FW-A-01,FG100F98456,notice,88.153.75.13,0,wan1,10.10.0.35,0,dmz,1,PING,deny,21,705,0,1,unscanned,88,notice,block,India,DDoS,Blocked
2020-01-04,05:14:17,GCH-FW-A-01,FG100F98456,alert,46.98.66.230,0,wan1,10.10.0.119,0,dmz,1,PING,deny,18,936,0,1,unscanned,34,alert,block,India,Intrusion,Blocked
2020-01-04,05:25:13,GCH-FW-C-01,FG100F05512,notice,169.121.162.223,27970,wan1,10.30.0.111,53,core,6,DNS,accept,3,998,3720,1,Network.Service,59,notice,allow,India,Intrusion,Logged
2020-01-04,05:40:51,GCH-FW-A-01,FG100F98456,warning,78.38.67.153,26904,wan1,10.10.0.99,443,dmz,6,HTTPS,accept,7,582,421,1,Network.Service,50,warning,allow,India,Malware,Ignored
2020-01-04,09:19:45,GCH-FW-C-01,FG100F05512,alert,91.116.23.209,0,wan1,10.30.0.7,0,core,1,PING,accept,3,392,3246,1,Network.Service,88,alert,allow,India,Intrusion,Logged
2020-01-04,11:27:20,GCH-FW-C-01,FG100F05512,warning,208.128.53.51,56338,wan1,10.30.0.126,53,core,17,DNS,accept,12,1295,188,2,Network.Service,41,warning,allow,India,Intrusion,Logged
2020-01-04,12:33:54,GCH-FW-B-01,FG100F38570,notice,11.219.48.95,26617,wan1,10.20.0.35,53,app,6,DNS,accept,3,434,267,1,Network.Service,47,notice,allow,India,Intrusion,Logged
2020-01-04,17:55:39,GCH-FW-A-01,FG100F98456,warning,37.138.80.165,5812,wan1,10.10.0.13,8443,dmz,6,HTTPS-ALT,accept,12,922,900,1,Network.Service,44,warning,allow,India,DDoS,Logged
2020-01-04,19:12:19,GCH-FW-B-01,FG100F38570,warning,217.77.29.136,1132,wan1,10.20.0.92,21,app,17,FTP,deny,7,1467,0,2,unscanned,46,warning,block,India,DDoS,Blocked
2020-01-04,20:07:48,GCH-FW-C-01,FG100F05512,alert,50.34.174.166,27013,wan1,10.30.0.129,443,core,17,HTTPS,accept,21,412,1050,1,Network.Service,78,alert,allow,India,Intrusion,Logged
2020-01-04,20:34:57,GCH-FW-C-01,FG100F05512,warning,106.21.232.22,0,wan1,10.30.0.71,0,core,1,PING,accept,21,523,2519,1,Network.Service,15,warning,allow,India,Intrusion,Logged
2020-01-04,20:43:00,GCH-FW-C-01,FG100F05512,notice,156.86.195.210,6064,wan1,10.30.0.112,8080,core,6,HTTP-ALT,deny,3,1184,0,1,unscanned,44,notice,block,India,DDoS,Blocked
2020-01-04,22:17:27,GCH-FW-C-01,FG100F05512,warning,41.237.237.175,15376,wan1,10.30.0.48,443,core,6,HTTPS,accept,3,346,1163,1,Network.Service,22,warning,allow,India,DDoS,Ignored
2020-01-05,02:49:07,GCH-FW-C-01,FG100F05512,alert,170.115.62.230,14427,wan1,10.30.0.115,53,core,17,DNS,deny,12,1360,0,2,unscanned,64,alert,block,India,Intrusion,Blocked
2020-01-05,07:32:01,GCH-FW-B-01,FG100F38570,notice,131.159.44.170,0,wan1,10.20.0.94,0,app,1,PING,accept,12,1066,549,1,Network.Service,77,notice,allow,India,DDoS,Ignored
2020-01-05,07:37:20,GCH-FW-C-01,FG100F05512,alert,15.253.103.63,63368,wan1,10.30.0.81,53,core,17,DNS,deny,12,962,0,1,unscanned,13,alert,block,India,Malware,Blocked
2020-01-05,11:12:29,GCH-FW-B-01,FG100F38570,alert,31.172.98.7,1636,wan1,10.20.0.115,53,app,6,DNS,deny,7,836,0,1,unscanned,73,alert,block,India,Malware,Blocked
2020-01-05,14:09:44,GCH-FW-C-01,FG100F05512,notice,24.28.135.236,29167,wan1,10.30.0.59,53,core,17,DNS,accept,7,491,3075,1,Network.Service,1,notice,allow,India,Malware,Logged
2020-01-05,14:19:20,GCH-FW-B-01,FG100F38570,alert,119.86.201.223,15108,wan1,10.20.0.62,53,app,17,DNS,deny,18,1242,0,2,unscanned,79,alert,block,India,Intrusion,Blocked
2020-01-05,14:28:50,GCH-FW-A-01,FG100F98456,alert,154.226.123.216,54082,wan1,10.10.0.118,53,dmz,6,DNS,accept,7,1131,2748,1,Network.Service,12,alert,allow,India,Malware,Logged
2020-01-05,17:09:17,GCH-FW-C-01,FG100F05512,warning,3.23.13.171,16873,wan1,10.30.0.67,53,core,6,DNS,accept,18,1012,3772,1,Network.Service,15,warning,allow,India,Malware,Ignored
2020-01-05,18:54:49,GCH-FW-B-01,FG100F38570,alert,164.196.237.121,31468,wan1,10.20.0.47,990,app,6,FTPS,deny,3,227,0,1,unscanned,90,alert,block,India,Intrusion,Blocked
2020-01-05,21:21:20,GCH-FW-C-01,FG100F05512,alert,162.224.1.2,37924,wan1,10.30.0.13,53,core,6,DNS,accept,18,1308,472,2,Network.Service,79,alert,allow,India,Intrusion,Logged
2020-01-05,22:31:50,GCH-FW-A-01,FG100F98456,notice,171.5.254.99,12790,wan1,10.10.0.107,990,dmz,17,FTPS,accept,3,841,1746,1,Network.Service,58,notice,allow,India,DDoS,Logged
2020-01-06,01:39:43,GCH-FW-C-01,FG100F05512,alert,67.166.97.34,64551,wan1,10.30.0.100,53,core,6,DNS,accept,21,980,745,1,Network.Service,22,alert,allow,India,Malware,Ignored
2020-01-06,04:18:04,GCH-FW-C-01,FG100F05512,notice,107.123.250.212,57043,wan1,10.30.0.69,21,core,6,FTP,accept,3,1219,1155,2,Network.Service,60,notice,allow,India,Malware,Logged
2020-01-06,05:25:43,GCH-FW-A-01,FG100F98456,notice,151.18.52.157,0,wan1,10.10.0.121,0,dmz,1,PING,accept,12,464,2112,1,Network.Service,32,notice,allow,India,Malware,Logged
2020-01-06,06:02:31,GCH-FW-C-01,FG100F05512,alert,39.198.204.252,0,wan1,10.30.0.13,0,core,1,PING,accept,7,1278,344,2,Network.Service,44,alert,allow,India,Intrusion,Ignored
2020-01-06,06:08:40,GCH-FW-C-01,FG100F05512,alert,78.31.133.49,0,wan1,10.30.0.44,0,core,1,PING,accept,21,463,2007,1,Network.Service,70,alert,allow,India,DDoS,Logged
2020-01-06,10:27:28,GCH-FW-C-01,FG100F05512,notice,36.43.171.238,61436,wan1,10.30.0.48,2121,core,6,FTP,accept,12,170,2827,1,Network.Service,68,notice,allow,India,Intrusion,Logged
2020-01-06,15:28:14,GCH-FW-A-01,FG100F98456,warning,145.143.79.86,0,wan1,10.10.0.53,0,dmz,1,PING,accept,3,775,216,1,Network.Service,6,warning,allow,India,Intrusion,Logged
2020-01-06,17:22:31,GCH-FW-B-01,FG100F38570,alert,59.13.13.137,57642,wan1,10.20.0.120,8443,app,6,HTTPS-ALT,accept,12,679,1985,1,Network.Service,76,alert,allow,India,Intrusion,Logged
2020-01-06,18:04:10,GCH-FW-B-01,FG100F38570,warning,190.181.202.114,17832,wan1,10.20.0.96,8080,app,17,HTTP-ALT,accept,21,270,2937,1,Network.Service,70,warning,allow,India,Malware,Ignored
2020-01-06,18:21:48,GCH-FW-B-01,FG100F38570,alert,195.170.233.24,10321,wan1,10.20.0.21,53,app,6,DNS,accept,21,1048,3641,1,Network.Service,27,alert,allow,India,Intrusion,Ignored
2020-01-06,19:22:08,GCH-FW-A-01,FG100F98456,notice,21.186.189.214,20195,wan1,10.10.0.64,2121,dmz,17,FTP,accept,18,591,1226,1,Network.Service,57,notice,allow,India,Intrusion,Ignored
2020-01-06,20:04:06,GCH-FW-B-01,FG100F38570,warning,161.9.94.72,31360,wan1,10.20.0.5,53,app,6,DNS,accept,12,249,1908,1,Network.Service,66,warning,allow,India,Intrusion,Logged
2020-01-06,21:17:48,GCH-FW-A-01,FG100F98456,alert,194.45.105.32,0,wan1,10.10.0.46,0,dmz,1,PING,accept,3,1336,597,2,Network.Service,95,alert,allow,India,DDoS,Logged
2020-01-06,21:33:34,GCH-FW-A-01,FG100F98456,alert,85.230.182.23,19384,wan1,10.10.0.12,2121,dmz,17,FTP,accept,12,110,60,1,Network.Service,32,alert,allow,India,Intrusion,Ignored
2020-01-06,21:50:08,GCH-FW-C-01,FG100F05512,warning,33.215.72.104,0,wan1,10.30.0.101,0,core,1,PING,accept,7,425,3243,1,Network.Service,22,warning,allow,India,Malware,Ignored
2020-01-07,02:16:57,GCH-FW-B-01,FG100F38570,notice,109.62.159.118,58428,wan1,10.20.0.19,8443,app,17,HTTPS-ALT,accept,18,764,279,1,Network.Service,56,notice,allow,India,DDoS,Ignored
2020-01-07,15:01:31,GCH-FW-C-01,FG100F05512,notice,150.1.205.67,32586,wan1,10.30.0.32,2121,core,6,FTP,deny,21,804,0,1,unscanned,41,notice,block,India,Intrusion,Blocked
2020-01-07,16:47:45,GCH-FW-C-01,FG100F05512,notice,189.210.231.6,35570,wan1,10.30.0.27,2121,core,17,FTP,accept,18,1053,2784,1,Network.Service,89,notice,allow,India,Intrusion,Ignored
2020-01-07,19:21:36,GCH-FW-C-01,FG100F05512,warning,145.244.91.119,0,wan1,10.30.0.119,0,core,1,PING,deny,21,1211,0,2,unscanned,97,warning,block,India,DDoS,Blocked
2020-01-07,22:03:35,GCH-FW-B-01,FG100F38570,warning,157.110.231.72,0,wan1,10.20.0.25,0,app,1,PING,accept,3,996,3360,1,Network.Service,82,warning,allow,India,Malware,Ignored
2020-01-07,23:12:37,GCH-FW-C-01,FG100F05512,alert,168.8.143.117,58473,wan1,10.30.0.7,8080,core,17,HTTP-ALT,accept,12,1037,2158,1,Network.Service,62,alert,allow,India,Malware,Logged
2020-01-08,00:29:13,GCH-FW-B-01,FG100F38570,warning,145.33.37.124,58939,wan1,10.20.0.102,53,app,6,DNS,deny,12,982,0,1,unscanned,31,warning,block,India,DDoS,Blocked
2020-01-08,02:36:59,GCH-FW-B-01,FG100F38570,notice,144.70.121.67,0,wan1,10.20.0.61,0,app,1,PING,accept,21,249,2347,1,Network.Service,95,notice,allow,India,DDoS,Ignored
2020-01-08,05:10:20,GCH-FW-A-01,FG100F98456,warning,92.235.152.145,0,wan1,10.10.0.6,0,dmz,1,PING,accept,12,1062,1993,1,Network.Service,37,warning,allow,India,Intrusion,Logged
2020-01-08,06:18:37,GCH-FW-A-01,FG100F98456,notice,36.195.77.102,63308,wan1,10.10.0.43,53,dmz,17,DNS,accept,12,818,3633,1,Network.Service,19,notice,allow,India,Intrusion,Logged
2020-01-08,07:19:00,GCH-FW-B-01,FG100F38570,alert,31.155.56.110,0,wan1,10.20.0.62,0,app,1,PING,accept,18,71,1857,1,Network.Service,52,alert,allow,India,Malware,Ignored
2020-01-08,07:39:59,GCH-FW-C-01,FG100F05512,alert,20.111.43.173,4336,wan1,10.30.0.76,21,core,6,FTP,accept,7,445,3139,1,Network.Service,86,alert,allow,India,Malware,Logged
2020-01-08,09:57:34,GCH-FW-B-01,FG100F38570,alert,37.228.106.85,40649,wan1,10.20.0.70,443,app,17,HTTPS,accept,12,1104,1258,1,Network.Service,31,alert,allow,India,Intrusion,Ignored
2020-01-08,10:29:29,GCH-FW-C-01,FG100F05512,alert,41.20.102.238,0,wan1,10.30.0.20,0,core,1,PING,accept,3,280,1177,1,Network.Service,60,alert,allow,India,Malware,Logged
2020-01-08,20:58:59,GCH-FW-B-01,FG100F38570,warning,44.165.186.231,0,wan1,10.20.0.54,0,app,1,PING,deny,18,730,0,1,unscanned,24,warning,block,India,DDoS,Blocked
2020-01-08,21:16:53,GCH-FW-C-01,FG100F05512,alert,117.223.29.187,0,wan1,10.30.0.38,0,core,1,PING,deny,21,1194,0,1,unscanned,17,alert,block,India,DDoS,Blocked
2020-01-08,21:27:13,GCH-FW-C-01,FG100F05512,notice,195.88.126.249,0,wan1,10.30.0.24,0,core,1,PING,accept,18,1301,2782,2,Network.Service,72,notice,allow,India,Intrusion,Ignored
2020-01-09,04:42:00,GCH-FW-A-01,FG100F98456,alert,162.211.164.205,0,wan1,10.10.0.115,0,dmz,1,PING,accept,12,1241,1495,2,Network.Service,51,alert,allow,India,DDoS,Logged
2020-01-09,12:41:26,GCH-FW-B-01,FG100F38570,warning,215.40.161.80,3650,wan1,10.20.0.104,8080,app,17,HTTP-ALT,deny,12,153,0,1,unscanned,60,warning,block,India,Intrusion,Blocked
2020-01-09,15:50:29,GCH-FW-B-01,FG100F38570,notice,179.245.84.128,0,wan1,10.20.0.51,0,app,1,PING,deny,18,99,0,1,unscanned,17,notice,block,India,DDoS,Blocked
2020-01-09,16:39:06,GCH-FW-A-01,FG100F98456,warning,216.32.163.54,5578,wan1,10.10.0.5,8080,dmz,17,HTTP-ALT,deny,7,143,0,1,unscanned,40,warning,block,India,DDoS,Blocked
2020-01-09,18:45:52,GCH-FW-A-01,FG100F98456,warning,122.212.81.108,0,wan1,10.10.0.113,0,dmz,1,PING,accept,12,1430,972,2,Network.Service,63,warning,allow,India,DDoS,Logged
2020-01-09,21:57:25,GCH-FW-A-01,FG100F98456,alert,111.17.146.61,54210,wan1,10.10.0.28,21,dmz,6,FTP,deny,7,1165,0,1,unscanned,31,alert,block,India,Intrusion,Blocked
2020-01-09,22:48:50,GCH-FW-C-01,FG100F05512,notice,6.202.247.192,60436,wan1,10.30.0.128,21,core,17,FTP,accept,3,848,414,1,Network.Service,57,notice,allow,India,Malware,Ignored
2020-01-10,00:36:11,GCH-FW-C-01,FG100F05512,notice,159.193.220.188,54620,wan1,10.30.0.75,990,core,17,FTPS,accept,12,840,596,1,Network.Service,58,notice,allow,India,DDoS,Logged
2020-01-10,03:24:47,GCH-FW-A-01,FG100F98456,warning,177.15.133.115,50175,wan1,10.10.0.102,21,dmz,6,FTP,accept,18,406,3805,1,Network.Service,0,warning,allow,India,Malware,Logged
2020-01-10,04:57:48,GCH-FW-B-01,FG100F38570,warning,173.84.81.68,38032,wan1,10.20.0.36,53,app,17,DNS,deny,7,291,0,1,unscanned,37,warning,block,India,Malware,Blocked
2020-01-10,10:00:58,GCH-FW-A-01,FG100F98456,warning,152.180.35.10,0,wan1,10.10.0.82,0,dmz,1,PING,accept,12,609,3071,1,Network.Service,70,warning,allow,India,DDoS,Ignored
2020-01-10,10:35:16,GCH-FW-C-01,FG100F05512,notice,100.140.115.150,59140,wan1,10.30.0.25,53,core,17,DNS,accept,18,663,2771,1,Network.Service,58,notice,allow,India,DDoS,Logged
2020-01-10,10:52:11,GCH-FW-C-01,FG100F05512,warning,126.159.149.60,0,wan1,10.30.0.70,0,core,1,PING,accept,12,860,3480,1,Network.Service,57,warning,allow,India,Intrusion,Ignored
2020-01-10,12:12:04,GCH-FW-B-01,FG100F38570,notice,128.178.34.25,27083,wan1,10.20.0.86,80,app,6,HTTP,accept,3,595,978,1,Network.Service,40,notice,allow,India,Intrusion,Logged
2020-01-10,14:14:27,GCH-FW-B-01,FG100F38570,notice,18.120.156.250,37121,wan1,10.20.0.81,53,app,17,DNS,deny,18,1292,0,2,unscanned,43,notice,block,India,Malware,Blocked
2020-01-10,15:46:12,GCH-FW-C-01,FG100F05512,warning,106.54.99.1,42286,wan1,10.30.0.11,990,core,6,FTPS,accept,3,493,1114,1,Network.Service,70,warning,allow,India,Malware,Ignored
2020-01-10,16:07:53,GCH-FW-A-01,FG100F98456,warning,166.70.44.98,0,wan1,10.10.0.40,0,dmz,1,PING,deny,7,289,0,1,unscanned,10,warning,block,India,Malware,Blocked
2020-01-10,16:32:59,GCH-FW-C-01,FG100F05512,warning,6.161.254.82,0,wan1,10.30.0.72,0,core,1,PING,accept,12,806,2053,1,Network.Service,56,warning,allow,India,DDoS,Ignored
2020-01-10,17:31:28,GCH-FW-B-01,FG100F38570,alert,142.44.109.129,5422,wan1,10.20.0.126,8080,app,6,HTTP-ALT,accept,21,852,127,1,Network.Service,32,alert,allow,India,Intrusion,Logged
2020-01-10,17:49:52,GCH-FW-A-01,FG100F98456,warning,120.68.156.90,3827,wan1,10.10.0.57,53,dmz,6,DNS,accept,18,145,1796,1,Network.Service,11,warning,allow,India,Malware,Logged
2020-01-10,18:37:12,GCH-FW-C-01,FG100F05512,alert,22.223.64.178,0,wan1,10.30.0.5,0,core,1,PING,deny,12,309,0,1,unscanned,59,alert,block,India,Malware,Blocked
2020-01-10,19:08:16,GCH-FW-C-01,FG100F05512,notice,56.142.131.158,47586,wan1,10.30.0.30,53,core,17,DNS,deny,21,850,0,1,unscanned,74,notice,block,India,Intrusion,Blocked
2020-01-10,23:37:36,GCH-FW-A-01,FG100F98456,notice,100.177.106.220,2236,wan1,10.10.0.87,21,dmz,6,FTP,accept,18,1415,3648,2,Network.Service,14,notice,allow,India,DDoS,Ignored
2020-01-11,00:08:53,GCH-FW-B-01,FG100F38570,warning,192.249.172.57,25809,wan1,10.20.0.98,8080,app,17,HTTP-ALT,accept,21,867,976,1,Network.Service,90,warning,allow,India,DDoS,Logged
2020-01-11,02:19:58,GCH-FW-C-01,FG100F05512,warning,219.87.218.27,0,wan1,10.30.0.28,0,core,1,PING,accept,18,837,2124,1,Network.Service,68,warning,allow,India,Malware,Logged
2020-01-11,04:17:53,GCH-FW-A-01,FG100F98456,notice,68.162.33.202,0,wan1,10.10.0.91,0,dmz,1,PING,deny,7,1043,0,1,unscanned,82,notice,block,India,Malware,Blocked
2020-01-11,04:26:05,GCH-FW-A-01,FG100F98456,alert,28.219.174.251,55078,wan1,10.10.0.86,990,dmz,6,FTPS,deny,21,280,0,1,unscanned,57,alert,block,India,Intrusion,Blocked
2020-01-11,08:06:14,GCH-FW-C-01,FG100F05512,warning,11.10.19.41,0,wan1,10.30.0.54,0,core,1,PING,accept,12,888,3159,1,Network.Service,11,warning,allow,India,Malware,Logged
2020-01-11,10:29:51,GCH-FW-A-01,FG100F98456,warning,110.217.198.242,56314,wan1,10.10.0.79,8080,dmz,6,HTTP-ALT,accept,18,1026,250,1,Network.Service,90,warning,allow,India,Intrusion,Ignored
2020-01-11,11:17:24,GCH-FW-C-01,FG100F05512,alert,50.61.108.169,0,wan1,10.30.0.107,0,core,1,PING,accept,7,1316,3232,2,Network.Service,33,alert,allow,India,Malware,Logged
2020-01-11,13:38:59,GCH-FW-A-01,FG100F98456,notice,197.228.218.248,0,wan1,10.10.0.27,0,dmz,1,PING,accept,18,750,3810,1,Network.Service,61,notice,allow,India,DDoS,Ignored
2020-01-11,14:44:28,GCH-FW-A-01,FG100F98456,alert,5.17.223.100,16449,wan1,10.10.0.116,53,dmz,6,DNS,deny,12,463,0,1,unscanned,57,alert,block,India,Intrusion,Blocked
2020-01-11,20:52:17,GCH-FW-C-01,FG100F05512,alert,197.36.226.226,0,wan1,10.30.0.116,0,core,1,PING,accept,18,645,2159,1,Network.Service,61,alert,allow,India,Malware,Ignored
2020-01-11,22:40:27,GCH-FW-C-01,FG100F05512,notice,204.46.68.19,0,wan1,10.30.0.25,0,core,1,PING,accept,12,706,2517,1,Network.Service,69,notice,allow,India,Malware,Ignored
2020-01-11,22:47:45,GCH-FW-A-01,FG100F98456,notice,83.133.162.141,0,wan1,10.10.0.29,0,dmz,1,PING,accept,7,1254,2913,2,Network.Service,0,notice,allow,India,Malware,Ignored
2020-01-11,23:38:43,GCH-FW-A-01,FG100F98456,warning,220.61.46.129,25132,wan1,10.10.0.112,53,dmz,17,DNS,deny,21,621,0,1,unscanned,4,warning,block,India,Malware,Blocked
