day,events,baseline_avg,variance_pct,flag
2020-03-05,25,29.0,-13.8,
2020-03-06,29,29.0,0.0,
2020-03-07,28,29.0,-3.4,
2020-03-08,31,29.0,6.9,
2020-03-09,40,29.0,38.0,
2020-03-10,31,29.0,6.9,
2020-03-11,33,29.0,13.9,
2020-03-12,32,29.0,10.4,
2020-03-13,32,29.0,10.4,
2020-03-14,20,29.0,-31.0,
2020-03-15,34,29.0,17.3,
2020-03-16,27,29.0,-6.8,
2020-03-17,25,29.0,-13.8,
2020-03-18,24,29.0,-17.2,
2020-03-19,35,29.0,20.8,
2020-03-20,32,29.0,10.4,
2020-03-21,24,29.0,-17.2,
2020-03-22,22,29.0,-24.1,
2020-03-23,22,29.0,-24.1,
2020-03-24,27,29.0,-6.8,
2020-03-25,30,29.0,3.5,
2020-03-26,26,29.0,-10.3,
2020-03-27,29,29.0,0.0,
2020-03-28,29,29.0,0.0,
2020-03-29,27,29.0,-6.8,
2020-03-30,27,29.0,-6.8,
2020-03-31,29,29.0,0.0,
2020-04-01,23,29.0,-20.7,
2020-04-02,25,29.0,-13.8,
2020-04-03,32,29.0,10.4,
2020-04-04,34,29.0,17.3,
2020-04-05,25,29.0,-13.8,
2020-04-06,34,29.0,17.3,
2020-04-07,23,29.0,-20.7,
2020-04-08,25,29.0,-13.8,
2020-04-09,19,29.0,-34.4,
2020-04-10,36,29.0,24.2,
2020-04-11,31,29.0,6.9,
2020-04-12,29,29.0,0.0,
2020-04-13,40,29.0,38.0,
2020-04-14,29,29.0,0.0,
2020-04-15,17,29.0,-41.3,
2020-04-16,29,29.0,0.0,
2020-04-17,22,29.0,-24.1,
2020-04-18,24,29.0,-17.2,
2020-04-19,27,29.0,-6.8,
2020-04-20,22,29.0,-24.1,
2020-04-21,40,29.0,38.0,
2020-04-22,25,29.0,-13.8,
2020-04-23,28,29.0,-3.4,
2020-04-24,27,29.0,-6.8,
2020-04-25,23,29.0,-20.7,
2020-04-26,27,29.0,-6.8,
2020-04-27,28,29.0,-3.4,
2020-04-28,30,29.0,3.5,
2020-04-29,17,29.0,-41.3,
2020-04-30,32,29.0,10.4,
2020-05-01,30,29.0,3.5,
2020-05-02,26,29.0,-10.3,
2020-05-03,34,29.0,17.3,
2020-05-04,28,29.0,-3.4,
2020-05-05,27,29.0,-6.8,
2020-05-06,34,29.0,17.3,
2020-05-07,30,29.0,3.5,
2020-05-08,29,29.0,0.0,
2020-05-09,36,29.0,24.2,
2020-05-10,30,29.0,3.5,
2020-05-11,27,29.0,-6.8,
2020-05-12,35,29.0,20.8,
2020-05-13,34,29.0,17.3,
2020-05-14,28,29.0,-3.4,
2020-05-15,29,29.0,0.0,
2020-05-16,26,29.0,-10.3,
2020-05-17,29,29.0,0.0,
2020-05-18,18,29.0,-37.9,
2020-05-19,25,29.0,-13.8,
2020-05-20,35,29.0,20.8,
2020-05-21,26,29.0,-10.3,
2020-05-22,35,29.0,20.8,
2020-05-23,30,29.0,3.5,
2020-05-24,30,29.0,3.5,
2020-05-25,33,29.0,13.9,
2020-05-26,28,29.0,-3.4,
2020-05-27,28,29.0,-3.4,
2020-05-28,25,29.0,-13.8,
2020-05-29,25,29.0,-13.8,
2020-05-30,26,29.0,-10.3,
2020-05-31,25,29.0,-13.8,
2020-06-01,29,29.0,0.0,
2020-06-02,34,29.0,17.3,
2020-06-03,23,29.0,-20.7,
2020-06-04,28,29.0,-3.4,
2020-06-05,30,29.0,3.5,
2020-06-06,23,29.0,-20.7,
2020-06-07,26,29.0,-10.3,
2020-06-08,164,29.0,465.8,CRITICAL SPIKE
2020-06-09,40,29.0,38.0,
2020-06-10,25,29.0,-13.8,
2020-06-11,36,29.0,24.2,
2020-06-12,28,29.0,-3.4,
2020-06-13,26,29.0,-10.3,
2020-06-14,43,29.0,48.4,
2020-06-15,34,29.0,17.3,
2020-06-16,28,29.0,-3.4,
2020-06-17,25,29.0,-13.8,
2020-06-18,26,29.0,-10.3,
2020-06-19,31,29.0,6.9,
2020-06-20,30,29.0,3.5,
2020-06-21,25,29.0,-13.8,
2020-06-22,27,29.0,-6.8,
2020-06-23,23,29.0,-20.7,
2020-06-24,33,29.0,13.9,
2020-06-25,32,29.0,10.4,
2020-06-26,24,29.0,-17.2,
2020-06-27,33,29.0,13.9,
2020-06-28,28,29.0,-3.4,
2020-06-29,29,29.0,0.0,
2020-06-30,32,29.0,10.4,
2020-07-01,24,29.0,-17.2,
2020-07-02,33,29.0,13.9,
2020-07-03,28,29.0,-3.4,
2020-07-04,26,29.0,-10.3,
2020-07-05,32,29.0,10.4,
2020-07-06,33,29.0,13.9,
2020-07-07,28,29.0,-3.4,
2020-07-08,28,29.0,-3.4,
2020-07-09,38,29.0,31.1,
2020-07-10,18,29.0,-37.9,
2020-07-11,21,29.0,-27.6,
2020-07-12,26,29.0,-10.3,
2020-07-13,29,29.0,0.0,
2020-07-14,25,29.0,-13.8,
2020-07-15,26,29.0,-10.3,
2020-07-16,27,29.0,-6.8,
2020-07-17,31,29.0,6.9,
2020-07-18,20,29.0,-31.0,
2020-07-19,21,29.0,-27.6,
2020-07-20,29,29.0,0.0,
2020-07-21,27,29.0,-6.8,
2020-07-22,23,29.0,-20.7,
2020-07-23,32,29.0,10.4,
2020-07-24,35,29.0,20.8,
2020-07-25,41,29.0,41.4,
2020-07-26,34,29.0,17.3,
2020-07-27,26,29.0,-10.3,
2020-07-28,30,29.0,3.5,
2020-07-29,27,29.0,-6.8,
2020-07-30,34,29.0,17.3,
2020-07-31,25,29.0,-13.8,
2020-08-01,33,29.0,13.9,
2020-08-02,32,29.0,10.4,
2020-08-03,24,29.0,-17.2,
2020-08-04,31,29.0,6.9,
2020-08-05,33,29.0,13.9,
2020-08-06,19,29.0,-34.4,
2020-08-07,26,29.0,-10.3,
2020-08-08,25,29.0,-13.8,
2020-08-09,31,29.0,6.9,
2020-08-10,33,29.0,13.9,
2020-08-11,32,29.0,10.4,
2020-08-12,16,29.0,-44.8,
2020-08-13,29,29.0,0.0,
2020-08-14,21,29.0,-27.6,
2020-08-15,34,29.0,17.3,
2020-08-16,35,29.0,20.8,
2020-08-17,25,29.0,-13.8,
2020-08-18,21,29.0,-27.6,
2020-08-19,30,29.0,3.5,
2020-08-20,31,29.0,6.9,
2020-08-21,23,29.0,-20.7,
2020-08-22,28,29.0,-3.4,
2020-08-23,34,29.0,17.3,
2020-08-24,27,29.0,-6.8,
2020-08-25,25,29.0,-13.8,
2020-08-26,33,29.0,13.9,
2020-08-27,32,29.0,10.4,
2020-08-28,44,29.0,51.8,
2020-08-29,29,29.0,0.0,
2020-08-30,36,29.0,24.2,
2020-08-31,29,29.0,0.0,
2020-09-01,29,29.0,0.0,
2020-09-02,27,29.0,-6.8,
2020-09-03,23,29.0,-20.7,
2020-09-04,25,29.0,-13.8,
2020-09-05,22,29.0,-24.1,
2020-09-06,29,29.0,0.0,
2020-09-07,37,29.0,27.6,
2020-09-08,33,29.0,13.9,
2020-09-09,30,29.0,3.5,
2020-09-10,24,29.0,-17.2,
2020-09-11,31,29.0,6.9,
2020-09-12,15,29.0,-48.3,
2020-09-13,32,29.0,10.4,
2020-09-14,30,29.0,3.5,
2020-09-15,23,29.0,-20.7,
2020-09-16,24,29.0,-17.2,
2020-09-17,31,29.0,6.9,
2020-09-18,35,29.0,20.8,
2020-09-19,35,29.0,20.8,
2020-09-20,34,29.0,17.3,
2020-09-21,41,29.0,41.4,
2020-09-22,30,29.0,3.5,
2020-09-23,21,29.0,-27.6,
2020-09-24,26,29.0,-10.3,
2020-09-25,30,29.0,3.5,
2020-09-26,29,29.0,0.0,
2020-09-27,38,29.0,31.1,
2020-09-28,30,29.0,3.5,
2020-09-29,34,29.0,17.3,
2020-09-30,25,29.0,-13.8,
2020-10-01,33,29.0,13.9,
2020-10-02,30,29.0,3.5,
2020-10-03,33,29.0,13.9,
2020-10-04,36,29.0,24.2,
2020-10-05,37,29.0,27.6,
2020-10-06,28,29.0,-3.4,
2020-10-07,21,29.0,-27.6,
2020-10-08,31,29.0,6.9,
2020-10-09,26,29.0,-10.3,
2020-10-10,26,29.0,-10.3,
2020-10-11,27,29.0,-6.8,
2020-10-12,23,29.0,-20.7,
2020-10-13,27,29.0,-6.8,
2020-10-14,39,29.0,34.5,
2020-10-15,31,29.0,6.9,
2020-10-16,30,29.0,3.5,
2020-10-17,30,29.0,3.5,
2020-10-18,32,29.0,10.4,
2020-10-19,32,29.0,10.4,
2020-10-20,30,29.0,3.5,
2020-10-21,37,29.0,27.6,
2020-10-22,31,29.0,6.9,
2020-10-23,24,29.0,-17.2,
2020-10-24,28,29.0,-3.4,
2020-10-25,16,29.0,-44.8,
2020-10-26,30,29.0,3.5,
2020-10-27,29,29.0,0.0,
2020-10-28,25,29.0,-13.8,
2020-10-29,24,29.0,-17.2,
2020-10-30,34,29.0,17.3,
2020-10-31,23,29.0,-20.7,
2020-11-01,36,29.0,24.2,
2020-11-02,27,29.0,-6.8,
2020-11-03,27,29.0,-6.8,
2020-11-04,35,29.0,20.8,
2020-11-05,27,29.0,-6.8,
2020-11-06,37,29.0,27.6,
2020-11-07,30,29.0,3.5,
2020-11-08,27,29.0,-6.8,
2020-11-09,31,29.0,6.9,
2020-11-10,26,29.0,-10.3,
2020-11-11,33,29.0,13.9,
2020-11-12,32,29.0,10.4,
2020-11-13,26,29.0,-10.3,
2020-11-14,33,29.0,13.9,
2020-11-15,39,29.0,34.5,
2020-11-16,29,29.0,0.0,
2020-11-17,34,29.0,17.3,
2020-11-18,22,29.0,-24.1,
2020-11-19,35,29.0,20.8,
2020-11-20,31,29.0,6.9,
2020-11-21,23,29.0,-20.7,
2020-11-22,25,29.0,-13.8,
2020-11-23,34,29.0,17.3,
2020-11-24,22,29.0,-24.1,
2020-11-25,35,29.0,20.8,
2020-11-26,38,29.0,31.1,
2020-11-27,31,29.0,6.9,
2020-11-28,26,29.0,-10.3,
2020-11-29,35,29.0,20.8,
2020-11-30,26,29.0,-10.3,
2020-12-01,35,29.0,20.8,
2020-12-02,29,29.0,0.0,
2020-12-03,27,29.0,-6.8,
2020-12-04,29,29.0,0.0,
2020-12-05,29,29.0,0.0,
2020-12-06,28,29.0,-3.4,
2020-12-07,24,29.0,-17.2,
2020-12-08,35,29.0,20.8,
2020-12-09,30,29.0,3.5,
2020-12-10,40,29.0,38.0,
2020-12-11,21,29.0,-27.6,
2020-12-12,31,29.0,6.9,
2020-12-13,26,29.0,-10.3,
2020-12-14,33,29.0,13.9,
2020-12-15,16,29.0,-44.8,
2020-12-16,33,29.0,13.9,
2020-12-17,29,29.0,0.0,
2020-12-18,27,29.0,-6.8,
2020-12-19,35,29.0,20.8,
2020-12-20,33,29.0,13.9,
2020-12-21,36,29.0,24.2,
2020-12-22,32,29.0,10.4,
2020-12-23,26,29.0,-10.3,
2020-12-24,28,29.0,-3.4,
2020-12-25,24,29.0,-17.2,
2020-12-26,28,29.0,-3.4,
2020-12-27,27,29.0,-6.8,
2020-12-28,31,29.0,6.9,
2020-12-29,34,29.0,17.3,
2020-12-30,28,29.0,-3.4,
2020-12-31,37,29.0,27.6,
2021-01-01,25,29.0,-13.8,
2021-01-02,30,29.0,3.5,
2021-01-03,25,29.0,-13.8,
2021-01-04,29,29.0,0.0,
2021-01-05,34,29.0,17.3,
2021-01-06,35,29.0,20.8,
2021-01-07,26,29.0,-10.3,
2021-01-08,31,29.0,6.9,
2021-01-09,25,29.0,-13.8,
2021-01-10,27,29.0,-6.8,
2021-01-11,26,29.0,-10.3,
2021-01-12,29,29.0,0.0,
2021-01-13,21,29.0,-27.6,
2021-01-14,34,29.0,17.3,
2021-01-15,32,29.0,10.4,
2021-01-16,23,29.0,-20.7,
2021-01-17,27,29.0,-6.8,
2021-01-18,31,29.0,6.9,
2021-01-19,23,29.0,-20.7,
2021-01-20,18,29.0,-37.9,
2021-01-21,35,29.0,20.8,
2021-01-22,24,29.0,-17.2,
2021-01-23,28,29.0,-3.4,
2021-01-24,21,29.0,-27.6,
2021-01-25,30,29.0,3.5,
2021-01-26,37,29.0,27.6,
2021-01-27,34,29.0,17.3,
2021-01-28,20,29.0,-31.0,
2021-01-29,25,29.0,-13.8,
2021-01-30,24,29.0,-17.2,
2021-01-31,26,29.0,-10.3,
2021-02-01,35,29.0,20.8,
2021-02-02,25,29.0,-13.8,
2021-02-03,19,29.0,-34.4,
2021-02-04,22,29.0,-24.1,
2021-02-05,20,29.0,-31.0,
2021-02-06,25,29.0,-13.8,
2021-02-07,27,29.0,-6.8,
2021-02-08,24,29.0,-17.2,
2021-02-09,37,29.0,27.6,
2021-02-10,18,29.0,-37.9,
2021-02-11,26,29.0,-10.3,
2021-02-12,33,29.0,13.9,
2021-02-13,28,29.0,-3.4,
2021-02-14,30,29.0,3.5,
2021-02-15,27,29.0,-6.8,
2021-02-16,33,29.0,13.9,
2021-02-17,30,29.0,3.5,
2021-02-18,19,29.0,-34.4,
2021-02-19,40,29.0,38.0,
2021-02-20,39,29.0,34.5,
2021-02-21,40,29.0,38.0,
2021-02-22,32,29.0,10.4,
2021-02-23,26,29.0,-10.3,
2021-02-24,23,29.0,-20.7,
2021-02-25,23,29.0,-20.7,
2021-02-26,24,29.0,-17.2,
2021-02-27,26,29.0,-10.3,
2021-02-28,36,29.0,24.2,
2021-03-01,27,29.0,-6.8,
2021-03-02,26,29.0,-10.3,
2021-03-03,17,29.0,-41.3,
2021-03-04,25,29.0,-13.8,
2021-03-05,39,29.0,34.5,
2021-03-06,37,29.0,27.6,
2021-03-07,28,29.0,-3.4,
2021-03-08,32,29.0,10.4,
2021-03-09,40,29.0,38.0,
2021-03-10,25,29.0,-13.8,
2021-03-11,23,29.0,-20.7,
2021-03-12,24,29.0,-17.2,
2021-03-13,21,29.0,-27.6,
2021-03-14,33,29.0,13.9,
2021-03-15,32,29.0,10.4,
2021-03-16,23,29.0,-20.7,
2021-03-17,20,29.0,-31.0,
2021-03-18,37,29.0,27.6,
2021-03-19,29,29.0,0.0,
2021-03-20,24,29.0,-17.2,
2021-03-21,32,29.0,10.4,
2021-03-22,25,29.0,-13.8,
2021-03-23,25,29.0,-13.8,
2021-03-24,29,29.0,0.0,
2021-03-25,30,29.0,3.5,
2021-03-26,36,29.0,24.2,
2021-03-27,37,29.0,27.6,
2021-03-28,32,29.0,10.4,
2021-03-29,28,29.0,-3.4,
2021-03-30,31,29.0,6.9,
2021-03-31,31,29.0,6.9,
2021-04-01,25,29.0,-13.8,
2021-04-02,33,29.0,13.9,
2021-04-03,23,29.0,-20.7,
2021-04-04,35,29.0,20.8,
2021-04-05,31,29.0,6.9,
2021-04-06,24,29.0,-17.2,
2021-04-07,15,29.0,-48.3,
2021-04-08,25,29.0,-13.8,
2021-04-09,23,29.0,-20.7,
2021-04-10,33,29.0,13.9,
2021-04-11,23,29.0,-20.7,
2021-04-12,41,29.0,41.4,
2021-04-13,34,29.0,17.3,
2021-04-14,28,29.0,-3.4,
2021-04-15,33,29.0,13.9,
2021-04-16,28,29.0,-3.4,
2021-04-17,33,29.0,13.9,
2021-04-18,27,29.0,-6.8,
2021-04-19,32,29.0,10.4,
2021-04-20,24,29.0,-17.2,
2021-04-21,35,29.0,20.8,
2021-04-22,26,29.0,-10.3,
2021-04-23,28,29.0,-3.4,
2021-04-24,26,29.0,-10.3,
2021-04-25,33,29.0,13.9,
2021-04-26,29,29.0,0.0,
2021-04-27,34,29.0,17.3,
2021-04-28,34,29.0,17.3,
2021-04-29,22,29.0,-24.1,
2021-04-30,27,29.0,-6.8,
2021-05-01,30,29.0,3.5,
2021-05-02,30,29.0,3.5,
2021-05-03,20,29.0,-31.0,
2021-05-04,27,29.0,-6.8,
2021-05-05,30,29.0,3.5,
2021-05-06,19,29.0,-34.4,
2021-05-07,26,29.0,-10.3,
2021-05-08,32,29.0,10.4,
2021-05-09,25,29.0,-13.8,
2021-05-10,25,29.0,-13.8,
2021-05-11,27,29.0,-6.8,
2021-05-12,38,29.0,31.1,
2021-05-13,26,29.0,-10.3,
2021-05-14,29,29.0,0.0,
2021-05-15,26,29.0,-10.3,
2021-05-16,38,29.0,31.1,
2021-05-17,24,29.0,-17.2,
2021-05-18,24,29.0,-17.2,
2021-05-19,25,29.0,-13.8,
2021-05-20,28,29.0,-3.4,
2021-05-21,32,29.0,10.4,
2021-05-22,30,29.0,3.5,
2021-05-23,33,29.0,13.9,
2021-05-24,36,29.0,24.2,
2021-05-25,21,29.0,-27.6,
2021-05-26,25,29.0,-13.8,
2021-05-27,26,29.0,-10.3,
2021-05-28,33,29.0,13.9,
2021-05-29,33,29.0,13.9,
2021-05-30,26,29.0,-10.3,
2021-05-31,23,29.0,-20.7,
2021-06-01,26,29.0,-10.3,
2021-06-02,30,29.0,3.5,
2021-06-03,36,29.0,24.2,
2021-06-04,35,29.0,20.8,
2021-06-05,26,29.0,-10.3,
2021-06-06,38,29.0,31.1,
2021-06-07,33,29.0,13.9,
2021-06-08,31,29.0,6.9,
2021-06-09,35,29.0,20.8,
2021-06-10,44,29.0,51.8,
2021-06-11,35,29.0,20.8,
2021-06-12,36,29.0,24.2,
2021-06-13,37,29.0,27.6,
2021-06-14,33,29.0,13.9,
2021-06-15,32,29.0,10.4,
2021-06-16,35,29.0,20.8,
2021-06-17,21,29.0,-27.6,
2021-06-18,30,29.0,3.5,
2021-06-19,29,29.0,0.0,
2021-06-20,32,29.0,10.4,
2021-06-21,20,29.0,-31.0,
2021-06-22,36,29.0,24.2,
2021-06-23,24,29.0,-17.2,
2021-06-24,23,29.0,-20.7,
2021-06-25,28,29.0,-3.4,
2021-06-26,37,29.0,27.6,
2021-06-27,20,29.0,-31.0,
2021-06-28,37,29.0,27.6,
2021-06-29,27,29.0,-6.8,
2021-06-30,23,29.0,-20.7,
2021-07-01,33,29.0,13.9,
2021-07-02,26,29.0,-10.3,
2021-07-03,27,29.0,-6.8,
2021-07-04,24,29.0,-17.2,
2021-07-05,26,29.0,-10.3,
2021-07-06,38,29.0,31.1,
2021-07-07,31,29.0,6.9,
2021-07-08,30,29.0,3.5,
2021-07-09,26,29.0,-10.3,
2021-07-10,38,29.0,31.1,
2021-07-11,31,29.0,6.9,
2021-07-12,33,29.0,13.9,
2021-07-13,29,29.0,0.0,
2021-07-14,24,29.0,-17.2,
2021-07-15,37,29.0,27.6,
2021-07-16,33,29.0,13.9,
2021-07-17,30,29.0,3.5,
2021-07-18,25,29.0,-13.8,
2021-07-19,21,29.0,-27.6,
2021-07-20,30,29.0,3.5,
2021-07-21,33,29.0,13.9,
2021-07-22,32,29.0,10.4,
2021-07-23,22,29.0,-24.1,
2021-07-24,33,29.0,13.9,
2021-07-25,17,29.0,-41.3,
2021-07-26,23,29.0,-20.7,
2021-07-27,36,29.0,24.2,
2021-07-28,36,29.0,24.2,
2021-07-29,29,29.0,0.0,
2021-07-30,24,29.0,-17.2,
2021-07-31,23,29.0,-20.7,
2021-08-01,27,29.0,-6.8,
2021-08-02,20,29.0,-31.0,
2021-08-03,32,29.0,10.4,
2021-08-04,24,29.0,-17.2,
2021-08-05,25,29.0,-13.8,
2021-08-06,35,29.0,20.8,
2021-08-07,23,29.0,-20.7,
2021-08-08,22,29.0,-24.1,
2021-08-09,32,29.0,10.4,
2021-08-10,32,29.0,10.4,
2021-08-11,32,29.0,10.4,
2021-08-12,38,29.0,31.1,
2021-08-13,34,29.0,17.3,
2021-08-14,22,29.0,-24.1,
2021-08-15,35,29.0,20.8,
2021-08-16,17,29.0,-41.3,
2021-08-17,30,29.0,3.5,
2021-08-18,33,29.0,13.9,
2021-08-19,31,29.0,6.9,
2021-08-20,32,29.0,10.4,
2021-08-21,34,29.0,17.3,
2021-08-22,40,29.0,38.0,
2021-08-23,15,29.0,-48.3,
2021-08-24,26,29.0,-10.3,
2021-08-25,39,29.0,34.5,
2021-08-26,33,29.0,13.9,
2021-08-27,32,29.0,10.4,
2021-08-28,15,29.0,-48.3,
2021-08-29,29,29.0,0.0,
2021-08-30,28,29.0,-3.4,
2021-08-31,27,29.0,-6.8,
2021-09-01,38,29.0,31.1,
2021-09-02,40,29.0,38.0,
2021-09-03,28,29.0,-3.4,
2021-09-04,33,29.0,13.9,
2021-09-05,34,29.0,17.3,
2021-09-06,24,29.0,-17.2,
2021-09-07,34,29.0,17.3,
2021-09-08,27,29.0,-6.8,
2021-09-09,30,29.0,3.5,
2021-09-10,35,29.0,20.8,
2021-09-11,27,29.0,-6.8,
2021-09-12,32,29.0,10.4,
2021-09-13,27,29.0,-6.8,
2021-09-14,19,29.0,-34.4,
2021-09-15,35,29.0,20.8,
2021-09-16,32,29.0,10.4,
2021-09-17,27,29.0,-6.8,
2021-09-18,34,29.0,17.3,
2021-09-19,26,29.0,-10.3,
2021-09-20,36,29.0,24.2,
2021-09-21,29,29.0,0.0,
2021-09-22,31,29.0,6.9,
2021-09-23,24,29.0,-17.2,
2021-09-24,31,29.0,6.9,
2021-09-25,23,29.0,-20.7,
2021-09-26,33,29.0,13.9,
2021-09-27,27,29.0,-6.8,
2021-09-28,36,29.0,24.2,
2021-09-29,33,29.0,13.9,
2021-09-30,24,29.0,-17.2,
2021-10-01,32,29.0,10.4,
2021-10-02,32,29.0,10.4,
2021-10-03,31,29.0,6.9,
2021-10-04,35,29.0,20.8,
2021-10-05,22,29.0,-24.1,
2021-10-06,32,29.0,10.4,
2021-10-07,27,29.0,-6.8,
2021-10-08,27,29.0,-6.8,
2021-10-09,22,29.0,-24.1,
2021-10-10,37,29.0,27.6,
2021-10-11,31,29.0,6.9,
2021-10-12,33,29.0,13.9,
2021-10-13,30,29.0,3.5,
2021-10-14,28,29.0,-3.4,
2021-10-15,28,29.0,-3.4,
2021-10-16,29,29.0,0.0,
2021-10-17,27,29.0,-6.8,
2021-10-18,15,29.0,-48.3,
2021-10-19,27,29.0,-6.8,
2021-10-20,34,29.0,17.3,
2021-10-21,23,29.0,-20.7,
2021-10-22,31,29.0,6.9,
2021-10-23,29,29.0,0.0,
2021-10-24,25,29.0,-13.8,
2021-10-25,29,29.0,0.0,
2021-10-26,25,29.0,-13.8,
2021-10-27,20,29.0,-31.0,
2021-10-28,25,29.0,-13.8,
2021-10-29,34,29.0,17.3,
2021-10-30,25,29.0,-13.8,
2021-10-31,44,29.0,51.8,
2021-11-01,32,29.0,10.4,
2021-11-02,33,29.0,13.9,
2021-11-03,19,29.0,-34.4,
2021-11-04,28,29.0,-3.4,
2021-11-05,36,29.0,24.2,
2021-11-06,39,29.0,34.5,
2021-11-07,24,29.0,-17.2,
2021-11-08,29,29.0,0.0,
2021-11-09,29,29.0,0.0,
2021-11-10,27,29.0,-6.8,
2021-11-11,29,29.0,0.0,
2021-11-12,27,29.0,-6.8,
2021-11-13,27,29.0,-6.8,
2021-11-14,35,29.0,20.8,
2021-11-15,23,29.0,-20.7,
2021-11-16,26,29.0,-10.3,
2021-11-17,34,29.0,17.3,
2021-11-18,28,29.0,-3.4,
2021-11-19,27,29.0,-6.8,
2021-11-20,29,29.0,0.0,
2021-11-21,31,29.0,6.9,
2021-11-22,26,29.0,-10.3,
2021-11-23,26,29.0,-10.3,
2021-11-24,24,29.0,-17.2,
2021-11-25,28,29.0,-3.4,
2021-11-26,33,29.0,13.9,
2021-11-27,28,29.0,-3.4,
2021-11-28,35,29.0,20.8,
2021-11-29,36,29.0,24.2,
2021-11-30,19,29.0,-34.4,
2021-12-01,28,29.0,-3.4,
2021-12-02,24,29.0,-17.2,
2021-12-03,23,29.0,-20.7,
2021-12-04,26,29.0,-10.3,
2021-12-05,27,29.0,-6.8,
2021-12-06,27,29.0,-6.8,
2021-12-07,26,29.0,-10.3,
2021-12-08,26,29.0,-10.3,
2021-12-09,25,29.0,-13.8,
2021-12-10,25,29.0,-13.8,
2021-12-11,40,29.0,38.0,
2021-12-12,35,29.0,20.8,
2021-12-13,27,29.0,-6.8,
2021-12-14,33,29.0,13.9,
2021-12-15,27,29.0,-6.8,
2021-12-16,29,29.0,0.0,
2021-12-17,30,29.0,3.5,
2021-12-18,25,29.0,-13.8,
2021-12-19,23,29.0,-20.7,
2021-12-20,38,29.0,31.1,
2021-12-21,31,29.0,6.9,
2021-12-22,26,29.0,-10.3,
2021-12-23,31,29.0,6.9,
2021-12-24,30,29.0,3.5,
2021-12-25,19,29.0,-34.4,
2021-12-26,24,29.0,-17.2,
2021-12-27,21,29.0,-27.6,
2021-12-28,40,29.0,38.0,
2021-12-29,25,29.0,-13.8,
2021-12-30,17,29.0,-41.3,
2021-12-31,21,29.0,-27.6,
2022-01-01,26,29.0,-10.3,
2022-01-02,34,29.0,17.3,
2022-01-03,29,29.0,0.0,
2022-01-04,18,29.0,-37.9,
2022-01-05,25,29.0,-13.8,
2022-01-06,35,29.0,20.8,
2022-01-07,31,29.0,6.9,
2022-01-08,25,29.0,-13.8,
2022-01-09,27,29.0,-6.8,
2022-01-10,33,29.0,13.9,
2022-01-11,28,29.0,-3.4,
2022-01-12,22,29.0,-24.1,
2022-01-13,25,29.0,-13.8,
2022-01-14,30,29.0,3.5,
2022-01-15,25,29.0,-13.8,
2022-01-16,30,29.0,3.5,
2022-01-17,27,29.0,-6.8,
2022-01-18,23,29.0,-20.7,
2022-01-19,31,29.0,6.9,
2022-01-20,35,29.0,20.8,
2022-01-21,35,29.0,20.8,
2022-01-22,29,29.0,0.0,
2022-01-23,27,29.0,-6.8,
