incidentNumber,title,severity,status,classification,createdTimeUtc,lastActivityTimeUtc,alertCount,affectedEntity,sourceIps,owner,rule
1001,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2021-04-19T04:51:19Z,2021-04-19T09:24:16Z,3,GCH-LIS-248,60.20.108.52;134.228.229.209;144.71.235.173,,NET-01
1002,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-12-17T19:35:51Z,2022-12-17T20:21:28Z,3,GCH-IOT-296,212.180.42.83;48.227.95.128;199.91.37.69,soc.l3@godavaricare.example,NET-01
1013,NET-01: High severity Malware traffic permitted through perimeter,High,Active,TruePositive,2021-07-08T04:33:57Z,2021-07-08T16:03:11Z,2,GCH-DNS-027,57.88.69.172;108.125.117.29,,NET-01
1014,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2021-10-09T02:52:57Z,2021-10-09T18:43:05Z,2,GCH-DB-334,217.3.76.20;119.32.110.93,soc.l2@godavaricare.example,NET-01
1015,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2021-10-10T07:10:55Z,2021-10-10T10:11:55Z,2,GCH-IOT-340,208.35.199.147;48.169.14.231,,NET-01
1016,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2020-02-17T00:12:20Z,2020-02-17T06:42:44Z,2,GCH-PACS-229,63.95.165.157;74.19.203.53,soc.l2@godavaricare.example,NET-01
1017,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2021-01-27T03:23:55Z,2021-01-27T17:26:29Z,2,GCH-HIS-195,20.77.88.67;128.30.16.159,soc.l3@godavaricare.example,NET-01
1018,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2020-06-01T03:31:11Z,2020-06-01T12:05:56Z,2,GCH-WEB-041,98.25.87.134;45.9.11.135,soc.l2@godavaricare.example,NET-01
1019,NET-01: High severity Malware traffic permitted through perimeter,High,Closed,TruePositive,2020-02-25T04:57:38Z,2020-02-25T08:29:47Z,2,GCH-WEB-101,147.234.199.65;4.248.214.198,soc.l3@godavaricare.example,NET-01
1020,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,TruePositive,2021-07-20T12:30:49Z,2021-07-20T19:58:15Z,2,GCH-IOT-376,31.22.174.200;17.230.123.6,soc.l3@godavaricare.example,NET-01
1021,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,TruePositive,2020-08-25T13:59:15Z,2020-08-25T14:14:26Z,2,GCH-HIS-171,199.205.36.162;175.210.116.153,soc.l2@godavaricare.example,NET-01
1022,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2021-04-14T09:35:18Z,2021-04-14T23:04:31Z,2,GCH-LAB-311,159.253.213.243;56.189.47.63,soc.l2@godavaricare.example,NET-01
1023,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-03-07T17:00:52Z,2020-03-07T17:24:51Z,2,GCH-PRX-050,43.243.14.163;162.82.101.153,soc.l3@godavaricare.example,NET-01
1024,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,Undetermined,2022-03-29T01:32:21Z,2022-03-29T20:00:03Z,2,GCH-HIS-195,99.201.10.79;141.77.156.233,soc.l2@godavaricare.example,NET-01
1025,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2023-08-10T00:24:41Z,2023-08-10T09:47:25Z,2,GCH-WEB-045,197.82.178.20;193.98.226.61,soc.l3@godavaricare.example,NET-01
1026,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2022-01-18T00:23:07Z,2022-01-18T01:24:56Z,2,GCH-HIS-211,111.37.129.58;85.179.26.173,soc.l2@godavaricare.example,NET-01
1027,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2021-09-28T20:16:12Z,2021-09-28T23:40:27Z,2,GCH-PACS-177,125.3.51.238;146.1.88.190,soc.l2@godavaricare.example,NET-01
1028,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-10-03T02:06:36Z,2021-10-03T20:38:43Z,2,GCH-DNS-011,69.19.45.83;23.169.180.29,,NET-01
1029,NET-01: High severity Malware traffic permitted through perimeter,High,New,TruePositive,2022-07-01T05:16:51Z,2022-07-01T22:34:12Z,2,GCH-PTL-032,171.79.108.23;13.60.50.238,soc.l2@godavaricare.example,NET-01
1030,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2021-07-15T00:13:12Z,2021-07-15T09:40:32Z,2,GCH-DNS-071,219.101.179.185;126.129.99.152,soc.l3@godavaricare.example,NET-01
1031,NET-01: High severity Malware traffic permitted through perimeter,High,Active,TruePositive,2022-01-15T14:10:51Z,2022-01-15T15:35:08Z,2,GCH-IOT-380,27.214.188.136;82.58.128.251,,NET-01
1032,NET-01: High severity Malware traffic permitted through perimeter,High,New,TruePositive,2020-11-03T09:37:40Z,2020-11-03T15:28:04Z,2,GCH-LAB-299,183.61.237.180;197.165.55.19,,NET-01
1033,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2021-07-13T16:53:52Z,2021-07-13T22:44:29Z,2,GCH-IOT-344,175.14.84.67;53.225.124.93,soc.l2@godavaricare.example,NET-01
1034,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-02-26T07:57:40Z,2020-02-26T10:28:40Z,2,GCH-PACS-185,177.111.128.71;96.100.152.189,,NET-01
1035,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2020-02-26T00:47:27Z,2020-02-26T09:59:51Z,2,GCH-HIS-219,180.60.156.208;94.154.134.216,soc.l2@godavaricare.example,NET-01
1036,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2021-11-01T07:05:20Z,2021-11-01T12:30:23Z,2,GCH-IOT-296,62.94.181.69;114.44.208.50,,NET-01
1037,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2020-03-02T18:42:21Z,2020-03-02T22:10:38Z,2,GCH-LAB-327,45.146.231.17;94.33.197.128,,NET-01
1038,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2020-06-08T10:15:23Z,2020-06-08T10:58:34Z,2,GCH-WEB-117,5.79.246.55;63.125.189.99,soc.l2@godavaricare.example,NET-01
1039,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2021-10-24T05:34:16Z,2021-10-24T08:53:26Z,2,GCH-LAB-291,21.187.223.185;92.138.195.146,,NET-01
1040,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2023-05-04T08:13:56Z,2023-05-04T23:00:45Z,2,GCH-DNS-095,116.19.190.147;24.185.150.97,soc.l2@godavaricare.example,NET-01
1041,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-06-25T08:50:39Z,2021-06-25T21:35:28Z,2,GCH-DNS-059,145.62.36.89;177.54.221.113,soc.l3@godavaricare.example,NET-01
1042,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2020-11-26T05:48:02Z,2020-11-26T07:50:00Z,2,GCH-AD-226,90.241.142.224;169.65.139.59,,NET-01
1043,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-06-23T13:02:09Z,2021-06-23T15:40:38Z,2,GCH-HIS-211,169.145.70.226;84.221.6.205,soc.l2@godavaricare.example,NET-01
1044,NET-01: High severity Malware traffic permitted through perimeter,High,Active,Undetermined,2021-05-12T05:13:06Z,2021-05-12T05:31:02Z,2,GCH-AD-254,144.211.205.177;174.23.160.204,,NET-01
1045,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-10-28T07:29:30Z,2021-10-28T22:47:37Z,2,GCH-PRX-010,18.246.175.224;21.212.222.254,soc.l2@godavaricare.example,NET-01
1046,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2022-06-18T20:38:15Z,2022-06-18T21:15:55Z,2,GCH-LAB-363,197.181.140.220;83.214.56.243,soc.l2@godavaricare.example,NET-01
1047,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-12-17T00:05:53Z,2021-12-17T06:38:12Z,2,GCH-HIS-143,196.61.85.95;138.231.250.224,,NET-01
1048,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,TruePositive,2021-05-13T11:25:02Z,2021-05-13T23:11:10Z,2,GCH-LAB-291,217.199.43.67;16.48.64.215,soc.l2@godavaricare.example,NET-01
1049,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2020-06-14T08:38:39Z,2020-06-14T14:44:51Z,2,GCH-DB-302,63.77.11.134;145.232.104.164,soc.l3@godavaricare.example,NET-01
1050,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2021-12-16T08:08:25Z,2021-12-16T08:53:26Z,2,GCH-HIS-267,206.158.243.14;16.104.205.18,,NET-01
1051,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2020-11-29T14:30:25Z,2020-11-29T18:46:42Z,2,GCH-EMR-317,79.219.79.161;147.165.142.233,soc.l2@godavaricare.example,NET-01
1052,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2022-11-18T05:58:19Z,2022-11-18T19:37:48Z,2,GCH-IOT-304,183.232.57.216;73.175.191.153,soc.l2@godavaricare.example,NET-01
1053,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-11-29T01:46:58Z,2020-11-29T14:34:37Z,2,GCH-HIS-203,119.183.249.122;44.185.235.100,soc.l2@godavaricare.example,NET-01
1054,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2022-10-09T05:20:00Z,2022-10-09T05:47:12Z,2,GCH-DB-338,174.186.62.54;6.190.142.176,soc.l2@godavaricare.example,NET-01
1055,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2021-10-29T16:28:56Z,2021-10-29T22:51:06Z,2,GCH-EMR-281,201.153.33.223;50.24.207.120,,NET-01
1056,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2021-05-02T08:52:33Z,2021-05-02T09:43:19Z,2,GCH-WEB-117,91.51.31.224;168.200.151.100,soc.l3@godavaricare.example,NET-01
1057,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2020-02-13T08:43:39Z,2020-02-13T15:27:15Z,2,GCH-EMR-325,5.27.195.84;4.42.248.124,soc.l2@godavaricare.example,NET-01
1058,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2023-05-10T01:03:45Z,2023-05-10T08:56:57Z,2,GCH-HIS-187,124.201.243.127;211.62.19.32,,NET-01
1059,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2020-11-17T00:17:51Z,2020-11-17T11:29:17Z,2,GCH-LAB-323,98.0.205.161;65.242.49.111,,NET-01
1060,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,TruePositive,2023-05-09T06:36:10Z,2023-05-09T13:49:22Z,2,GCH-LIS-188,164.193.82.250;138.28.61.199,,NET-01
1061,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2023-05-09T00:32:48Z,2023-05-09T12:05:12Z,2,GCH-HIS-159,38.146.242.213;99.113.153.77,soc.l3@godavaricare.example,NET-01
1062,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2021-01-21T18:40:58Z,2021-01-21T23:11:33Z,2,GCH-PTL-080,129.150.80.3;112.49.36.185,,NET-01
1063,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2020-08-01T17:53:05Z,2020-08-01T22:15:38Z,2,GCH-PTL-116,124.188.218.207;185.11.43.99,soc.l2@godavaricare.example,NET-01
1064,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,Undetermined,2020-11-23T12:35:58Z,2020-11-23T19:00:24Z,2,GCH-WEB-001,187.102.149.165;193.242.163.222,soc.l3@godavaricare.example,NET-01
1065,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,TruePositive,2022-06-14T08:52:14Z,2022-06-14T22:46:21Z,2,GCH-HIS-175,179.125.235.46;146.20.142.157,,NET-01
1066,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2020-02-07T10:29:36Z,2020-02-07T18:41:46Z,2,GCH-IOT-344,39.170.97.130;66.248.73.63,soc.l3@godavaricare.example,NET-01
1067,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-06-08T10:10:30Z,2020-06-08T10:46:59Z,2,GCH-DNS-131,97.96.83.225;17.191.46.185,soc.l2@godavaricare.example,NET-01
1068,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,Undetermined,2020-02-07T05:38:21Z,2020-02-07T07:45:07Z,2,GCH-EMR-393,24.49.123.170;206.249.30.189,,NET-01
1069,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2022-11-25T07:58:19Z,2022-11-25T10:42:11Z,2,GCH-PACS-253,31.68.142.39;152.223.93.207,soc.l3@godavaricare.example,NET-01
1070,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2022-10-02T02:06:05Z,2022-10-02T13:06:14Z,2,GCH-PACS-229,115.13.231.200;152.199.138.79,soc.l3@godavaricare.example,NET-01
1071,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2021-06-26T02:58:25Z,2021-06-26T08:58:27Z,2,GCH-PRX-070,64.158.78.169;49.74.132.179,soc.l3@godavaricare.example,NET-01
1072,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-06-08T11:17:20Z,2020-06-08T11:41:03Z,2,GCH-PACS-177,49.172.90.213;31.66.60.143,soc.l3@godavaricare.example,NET-01
1073,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-06-08T09:29:15Z,2020-06-08T11:01:03Z,2,GCH-PACS-221,105.209.225.188;43.205.166.169,soc.l2@godavaricare.example,NET-01
1074,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2021-05-07T23:22:33Z,2021-05-07T23:31:18Z,2,GCH-DNS-115,134.192.110.248;162.245.30.59,,NET-01
1075,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,TruePositive,2023-02-01T11:15:22Z,2023-02-01T20:06:05Z,2,GCH-HIS-259,72.172.83.230;9.137.163.86,,NET-01
1076,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2022-07-27T08:25:17Z,2022-07-27T13:44:43Z,2,GCH-HIS-175,138.200.7.155;98.59.177.154,soc.l3@godavaricare.example,NET-01
1077,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-07-26T17:43:42Z,2022-07-26T23:21:20Z,2,GCH-LIS-172,80.114.113.186;128.134.129.165,soc.l3@godavaricare.example,NET-01
1078,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2022-02-16T04:09:13Z,2022-02-16T04:09:42Z,2,GCH-DB-374,60.230.85.40;216.8.72.251,,NET-01
1079,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2020-09-13T10:43:57Z,2020-09-13T16:03:42Z,2,GCH-HIS-187,196.250.98.163;90.183.93.251,,NET-01
1080,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2020-10-01T02:46:25Z,2020-10-01T06:17:16Z,2,GCH-IOT-380,46.192.80.64;126.221.104.126,soc.l2@godavaricare.example,NET-01
1081,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2020-10-01T11:12:13Z,2020-10-01T12:09:17Z,2,GCH-PACS-173,199.160.218.87;176.79.26.42,soc.l3@godavaricare.example,NET-01
1082,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-08-13T07:29:32Z,2022-08-13T14:05:18Z,2,GCH-WEB-133,185.119.194.237;199.70.44.191,soc.l2@godavaricare.example,NET-01
1083,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2021-09-21T10:20:21Z,2021-09-21T12:21:14Z,2,GCH-PTL-080,88.161.10.7;169.252.255.16,,NET-01
1084,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2023-02-03T04:39:04Z,2023-02-03T23:29:38Z,2,GCH-HIS-175,4.25.224.9;56.170.219.213,soc.l3@godavaricare.example,NET-01
1085,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,TruePositive,2020-04-23T00:25:44Z,2020-04-23T05:39:09Z,2,GCH-PACS-185,79.244.58.130;27.69.229.210,,NET-01
1086,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2021-09-02T09:01:32Z,2021-09-02T19:00:12Z,2,GCH-LAB-291,157.142.229.242;57.74.136.194,soc.l3@godavaricare.example,NET-01
1087,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,Undetermined,2023-06-17T06:48:27Z,2023-06-17T12:56:18Z,2,GCH-EMR-361,154.67.232.223;190.45.157.254,soc.l3@godavaricare.example,NET-01
1088,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2023-07-15T04:11:55Z,2023-07-15T15:53:46Z,2,GCH-LIS-256,11.18.111.20;180.115.57.251,soc.l2@godavaricare.example,NET-01
1089,NET-01: High severity DDoS traffic permitted through perimeter,High,Closed,Undetermined,2021-09-04T14:29:22Z,2021-09-04T17:07:56Z,2,GCH-LAB-303,21.40.242.206;159.105.109.135,soc.l2@godavaricare.example,NET-01
1090,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-03-27T05:46:18Z,2020-03-27T16:45:49Z,2,GCH-WEB-033,25.123.52.70;47.72.100.180,soc.l2@godavaricare.example,NET-01
1091,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2023-07-16T09:32:08Z,2023-07-16T22:43:11Z,2,GCH-PTL-096,198.187.250.254;199.174.136.157,,NET-01
1092,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2023-06-19T16:42:12Z,2023-06-19T20:33:22Z,2,GCH-PRX-050,8.73.26.79;192.174.24.159,,NET-01
1093,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,Undetermined,2023-01-25T02:18:12Z,2023-01-25T15:20:27Z,2,GCH-HIS-195,111.214.220.31;81.86.171.63,,NET-01
1094,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,TruePositive,2022-03-02T13:54:59Z,2022-03-02T16:24:18Z,2,GCH-DNS-095,198.101.165.174;46.119.46.0,soc.l3@godavaricare.example,NET-01
1095,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2020-04-10T05:48:38Z,2020-04-10T10:51:32Z,2,GCH-PRX-118,169.206.133.230;162.23.201.0,soc.l3@godavaricare.example,NET-01
1096,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2020-09-24T03:32:19Z,2020-09-24T09:05:49Z,2,GCH-AD-254,81.160.217.88;199.17.69.32,soc.l2@godavaricare.example,NET-01
1097,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2023-06-30T13:57:30Z,2023-06-30T14:08:26Z,2,GCH-HIS-203,31.243.249.8;33.191.31.153,soc.l2@godavaricare.example,NET-01
1098,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2021-03-18T00:42:10Z,2021-03-18T15:41:36Z,2,GCH-IOT-272,55.176.186.9;31.35.40.83,soc.l3@godavaricare.example,NET-01
1099,NET-01: High severity DDoS traffic permitted through perimeter,High,New,Undetermined,2021-08-22T18:53:15Z,2021-08-22T19:46:14Z,2,GCH-IOT-304,205.210.42.248;202.206.147.0,,NET-01
1100,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2023-01-21T09:00:37Z,2023-01-21T12:32:01Z,2,GCH-LIS-248,128.9.121.100;48.84.165.178,,NET-01
1101,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2020-09-14T01:32:00Z,2020-09-14T15:22:37Z,2,GCH-IOT-340,48.96.101.55;140.11.172.93,soc.l3@godavaricare.example,NET-01
1102,NET-01: High severity DDoS traffic permitted through perimeter,High,New,TruePositive,2023-01-29T03:07:39Z,2023-01-29T15:44:05Z,2,GCH-WEB-001,98.171.102.88;64.190.91.211,soc.l2@godavaricare.example,NET-01
1103,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-08-13T06:30:07Z,2021-08-13T11:55:09Z,2,GCH-WEB-001,40.40.173.197;6.80.166.216,,NET-01
1104,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2021-03-15T06:05:04Z,2021-03-15T11:57:31Z,2,GCH-WEB-113,63.101.143.204;121.187.151.18,soc.l3@godavaricare.example,NET-01
1105,NET-01: High severity Malware traffic permitted through perimeter,High,New,TruePositive,2023-01-30T05:08:48Z,2023-01-30T05:12:07Z,2,GCH-HIS-187,213.193.85.62;10.51.190.222,,NET-01
1106,NET-01: High severity Intrusion traffic permitted through perimeter,High,New,Undetermined,2020-04-06T01:39:26Z,2020-04-06T01:51:55Z,2,GCH-PTL-068,164.30.214.30;61.224.49.146,,NET-01
1107,NET-01: High severity Intrusion traffic permitted through perimeter,High,Active,Undetermined,2021-03-26T02:56:37Z,2021-03-26T08:40:04Z,2,GCH-HIS-143,183.131.0.225;31.11.226.41,soc.l2@godavaricare.example,NET-01
1108,NET-01: High severity Intrusion traffic permitted through perimeter,High,Closed,TruePositive,2021-08-12T09:39:26Z,2021-08-12T12:03:26Z,2,GCH-HIS-195,22.151.144.187;196.224.132.141,soc.l3@godavaricare.example,NET-01
1109,NET-01: High severity DDoS traffic permitted through perimeter,High,Active,TruePositive,2022-03-06T05:21:57Z,2022-03-06T12:11:53Z,2,GCH-EMR-361,190.9.71.225;133.112.211.228,soc.l3@godavaricare.example,NET-01
